,Lisbon,Lugano,Graz,Lausanne,TheHague,Zurich,Frankfurt,Westpoort,Athens,Newcastle,Stockholm,Dronten,Kiev,Eindhoven,Valletta,Cardiff,Nuremberg,Gdansk,Zagreb,Budapest,Varna,
Lisbon,0.0,64.76,84.771,56.446,47.238,55.211,44.385,43.217,88.837,52.92,62.207,44.8,81.053,46.13,76.825,51.033,48.783,67.829,67.3,68.327,85.743,
Lugano,64.76,0.0,68.357,46.557,29.954,19.501,43.367,31.655,43.059,36.706,38.717,32.949,67.985,33.83,44.514,33.421,20.674,33.841,20.012,27.913,80.817,
Graz,84.771,68.357,0.0,28.797,54.497,31.881,17.991,37.51,67.456,57.773,58.498,24.574,87.057,39.495,55.054,48.247,28.414,62.589,36.09,7.869,83.273,
Lausanne,56.446,46.557,28.797,0.0,20.754,4.357,9.377,16.425,48.218,26.067,35.064,25.301,40.429,17.507,41.681,24.864,21.66,35.319,25.23,19.788,45.976,
TheHague,47.238,29.954,54.497,20.754,0.0,16.744,8.305,2.288,50.129,14.15,21.972,4.179,42.531,4.234,41.463,13.017,12.294,33.8,33.598,24.094,48.218,
Zurich,55.211,19.501,31.881,4.357,16.744,0.0,6.211,13.935,44.45,38.078,41.371,15.908,38.208,16.595,47.197,28.895,9.277,34.377,19.812,21.17,40.548,
Frankfurt,44.385,43.367,17.991,9.377,8.305,6.211,0.0,13.409,42.946,25.398,27.168,19.609,31.432,14.444,33.304,17.211,3.4,24.167,17.839,16.056,37.091,
Westpoort,43.217,31.655,37.51,16.425,2.288,13.935,13.409,0.0,49.383,12.628,24.385,1.751,38.222,2.95,40.276,10.308,10.083,28.411,24.018,30.122,46.803,
Athens,88.837,43.059,67.456,48.218,50.129,44.45,42.946,49.383,0.0,63.973,61.973,50.376,48.0,50.479,76.195,59.448,46.339,66.568,41.045,35.607,27.822,
Newcastle,52.92,36.706,57.773,26.067,14.15,38.078,25.398,12.628,63.973,0.0,36.803,18.943,58.79,17.61,54.352,11.174,28.909,37.097,36.315,38.912,51.645,
Stockholm,62.207,38.717,58.498,35.064,21.972,41.371,27.168,24.385,61.973,36.803,0.0,21.844,59.487,25.207,62.413,31.66,32.036,43.579,45.753,39.932,60.57,
Dronten,44.8,32.949,24.574,25.301,4.179,15.908,19.609,1.751,50.376,18.943,21.844,0.0,38.285,4.438,41.009,14.813,11.059,26.326,24.341,27.257,51.47,
Kiev,81.053,67.985,87.057,40.429,42.531,38.208,31.432,38.222,48.0,58.79,59.487,38.285,0.0,39.034,73.032,56.842,34.539,26.69,33.649,30.324,67.842,
Eindhoven,46.13,33.83,39.495,17.507,4.234,16.595,14.444,2.95,50.479,17.61,25.207,4.438,39.034,0.0,42.396,15.062,11.236,29.974,24.895,23.877,52.283,
Valletta,76.825,44.514,55.054,41.681,41.463,47.197,33.304,40.276,76.195,54.352,62.413,41.009,73.032,42.396,0.0,51.588,36.601,56.171,50.337,47.829,63.995,
Cardiff,51.033,33.421,48.247,24.864,13.017,28.895,17.211,10.308,59.448,11.174,31.66,14.813,56.842,15.062,51.588,0.0,21.009,34.92,33.976,34.445,47.647,
Nuremberg,48.783,20.674,28.414,21.66,12.294,9.277,3.4,10.083,46.339,28.909,32.036,11.059,34.539,11.236,36.601,21.009,0.0,27.171,17.773,15.694,35.268,
Gdansk,67.829,33.841,62.589,35.319,33.8,34.377,24.167,28.411,66.568,37.097,43.579,26.326,26.69,29.974,56.171,34.92,27.171,0.0,24.124,36.874,61.455,
Zagreb,67.3,20.012,36.09,25.23,33.598,19.812,17.839,24.018,41.045,36.315,45.753,24.341,33.649,24.895,50.337,33.976,17.773,24.124,0.0,9.751,17.631,
Budapest,68.327,27.913,7.869,19.788,24.094,21.17,16.056,30.122,35.607,38.912,39.932,27.257,30.324,23.877,47.829,34.445,15.694,36.874,9.751,0.0,22.631,
Varna,85.743,80.817,83.273,45.976,48.218,40.548,37.091,46.803,27.822,51.645,60.57,51.47,67.842,52.283,63.995,47.647,35.268,61.455,17.631,22.631,0.0,
